,Código Departamento,Nombre Departamento,Área,Año,Hogares
1062,18,Caquetá,Total,2024,151284
6,18,Caquetá,Total,Unnamed: 0,18
40,19,Cauca,Total,1993,238756
73,19,Cauca,Total,1994,246323
106,19,Cauca,Total,1995,253648
139,19,Cauca,Total,1996,260765
172,19,Cauca,Total,1997,267728
205,19,Cauca,Total,1998,274653
238,19,Cauca,Total,1999,281400
271,19,Cauca,Total,2000,288205
304,19,Cauca,Total,2001,294994
337,19,Cauca,Total,2002,301807
370,19,Cauca,Total,2003,308855
403,19,Cauca,Total,2004,316250
436,19,Cauca,Total,2005,324047
469,19,Cauca,Total,2006,332567
502,19,Cauca,Total,2007,341730
535,19,Cauca,Total,2008,351649
568,19,Cauca,Total,2009,362370
601,19,Cauca,Total,2010,374090
634,19,Cauca,Total,2011,386784
667,19,Cauca,Total,2012,400399
700,19,Cauca,Total,2013,414942
733,19,Cauca,Total,2014,430658
766,19,Cauca,Total,2015,447771
799,19,Cauca,Total,2016,466487
832,19,Cauca,Total,2017,486938
865,19,Cauca,Total,2018,509477
898,19,Cauca,Total,2019,524244
931,19,Cauca,Total,2020,539177
964,19,Cauca,Total,2021,554091
997,19,Cauca,Total,2022,569318
1030,19,Cauca,Total,2023,584984
1063,19,Cauca,Total,2024,599202
7,19,Cauca,Total,Unnamed: 0,21
41,20,Cesar,Total,1993,143769
74,20,Cesar,Total,1994,149986
107,20,Cesar,Total,1995,156136
140,20,Cesar,Total,1996,162231
173,20,Cesar,Total,1997,168273
206,20,Cesar,Total,1998,174322
239,20,Cesar,Total,1999,180372
272,20,Cesar,Total,2000,186345
305,20,Cesar,Total,2001,192258
338,20,Cesar,Total,2002,198140
371,20,Cesar,Total,2003,204030
404,20,Cesar,Total,2004,209909
437,20,Cesar,Total,2005,215960
470,20,Cesar,Total,2006,222187
503,20,Cesar,Total,2007,228771
536,20,Cesar,Total,2008,235743
569,20,Cesar,Total,2009,243163
602,20,Cesar,Total,2010,251012
635,20,Cesar,Total,2011,259275
668,20,Cesar,Total,2012,268064
701,20,Cesar,Total,2013,277472
734,20,Cesar,Total,2014,287538
767,20,Cesar,Total,2015,298416
800,20,Cesar,Total,2016,310857
833,20,Cesar,Total,2017,325214
866,20,Cesar,Total,2018,343460
899,20,Cesar,Total,2019,363059
932,20,Cesar,Total,2020,381066
965,20,Cesar,Total,2021,395417
998,20,Cesar,Total,2022,407987
1031,20,Cesar,Total,2023,420487
1064,20,Cesar,Total,2024,433523
8,20,Cesar,Total,Unnamed: 0,24
42,23,Córdoba,Total,1993,268600
75,23,Córdoba,Total,1994,275417
108,23,Córdoba,Total,1995,282225
141,23,Córdoba,Total,1996,289132
174,23,Córdoba,Total,1997,296043
207,23,Córdoba,Total,1998,302968
240,23,Córdoba,Total,1999,309971
273,23,Córdoba,Total,2000,317028
306,23,Córdoba,Total,2001,324154
339,23,Córdoba,Total,2002,331494
372,23,Córdoba,Total,2003,339034
405,23,Córdoba,Total,2004,346897
438,23,Córdoba,Total,2005,355126
471,23,Córdoba,Total,2006,363905
504,23,Córdoba,Total,2007,373205
537,23,Córdoba,Total,2008,383071
570,23,Córdoba,Total,2009,393613
603,23,Córdoba,Total,2010,404904
636,23,Córdoba,Total,2011,417054
669,23,Córdoba,Total,2012,430127
702,23,Córdoba,Total,2013,444259
735,23,Córdoba,Total,2014,459545
768,23,Córdoba,Total,2015,476212
801,23,Córdoba,Total,2016,494503
834,23,Córdoba,Total,2017,514622
867,23,Córdoba,Total,2018,537324
900,23,Córdoba,Total,2019,553298
933,23,Córdoba,Total,2020,569013
966,23,Córdoba,Total,2021,583783
999,23,Córdoba,Total,2022,598247
1032,23,Córdoba,Total,2023,612852
1065,23,Córdoba,Total,2024,626922
9,23,Córdoba,Total,Unnamed: 0,27
43,25,Cundinamarca,Total,1993,454312
76,25,Cundinamarca,Total,1994,455873
109,25,Cundinamarca,Total,1995,458002
142,25,Cundinamarca,Total,1996,460768
175,25,Cundinamarca,Total,1997,464194
208,25,Cundinamarca,Total,1998,468270
241,25,Cundinamarca,Total,1999,473123
274,25,Cundinamarca,Total,2000,478790
307,25,Cundinamarca,Total,2001,485371
340,25,Cundinamarca,Total,2002,492967
373,25,Cundinamarca,Total,2003,501782
406,25,Cundinamarca,Total,2004,512052
439,25,Cundinamarca,Total,2005,523436
472,25,Cundinamarca,Total,2006,537514
505,25,Cundinamarca,Total,2007,554289
538,25,Cundinamarca,Total,2008,574017
571,25,Cundinamarca,Total,2009,596925
604,25,Cundinamarca,Total,2010,623169
637,25,Cundinamarca,Total,2011,652701
670,25,Cundinamarca,Total,2012,685443
703,25,Cundinamarca,Total,2013,721693
736,25,Cundinamarca,Total,2014,761781
769,25,Cundinamarca,Total,2015,806295
802,25,Cundinamarca,Total,2016,856362
835,25,Cundinamarca,Total,2017,912813
868,25,Cundinamarca,Total,2018,977601
901,25,Cundinamarca,Total,2019,1044682
934,25,Cundinamarca,Total,2020,1111392
967,25,Cundinamarca,Total,2021,1171927
1000,25,Cundinamarca,Total,2022,1226847
1033,25,Cundinamarca,Total,2023,1280887
1066,25,Cundinamarca,Total,2024,1337363
