,Código Departamento,Nombre Departamento,Área,Año,Hogares,Viviendas
174,17,Caldas,Total,2002,266776,259446
175,17,Caldas,Total,2003,269756,262526
176,17,Caldas,Total,2004,272474,265358
177,17,Caldas,Total,2005,275102,268046
178,17,Caldas,Total,2006,277573,270685
179,17,Caldas,Total,2007,280244,273509
180,17,Caldas,Total,2008,283113,276507
181,17,Caldas,Total,2009,286292,279812
182,17,Caldas,Total,2010,289901,283540
183,17,Caldas,Total,2011,293828,287583
184,17,Caldas,Total,2012,297921,291792
185,17,Caldas,Total,2013,302203,296189
186,17,Caldas,Total,2014,306783,300881
187,17,Caldas,Total,2015,311840,306043
188,17,Caldas,Total,2016,317510,311811
189,17,Caldas,Total,2017,323875,318263
190,17,Caldas,Total,2018,331218,325681
191,17,Caldas,Total,2019,338348,332894
192,17,Caldas,Total,2020,345695,340324
193,17,Caldas,Total,2021,352995,347709
194,17,Caldas,Total,2022,360491,355289
195,17,Caldas,Total,2023,368362,363240
196,17,Caldas,Total,2024,376973,371922
197,17,Caldas,Total,Unnamed: 0,15,15
198,18,Caquetá,Total,1993,67430,61760
199,18,Caquetá,Total,1994,69946,64100
200,18,Caquetá,Total,1995,72416,66398
201,18,Caquetá,Total,1996,74796,68614
202,18,Caquetá,Total,1997,77109,70769
203,18,Caquetá,Total,1998,79318,72825
204,18,Caquetá,Total,1999,81438,74799
205,18,Caquetá,Total,2000,83464,76688
206,18,Caquetá,Total,2001,85389,78492
207,18,Caquetá,Total,2002,87211,80217
208,18,Caquetá,Total,2003,88968,81907
209,18,Caquetá,Total,2004,90689,83593
210,18,Caquetá,Total,2005,92407,85302
211,18,Caquetá,Total,2006,94117,87039
212,18,Caquetá,Total,2007,95908,88872
213,18,Caquetá,Total,2008,97801,90832
214,18,Caquetá,Total,2009,99817,92926
215,18,Caquetá,Total,2010,101968,95167
216,18,Caquetá,Total,2011,104279,97576
217,18,Caquetá,Total,2012,106744,100146
218,18,Caquetá,Total,2013,109366,102875
219,18,Caquetá,Total,2014,112219,105830
220,18,Caquetá,Total,2015,115374,109076
221,18,Caquetá,Total,2016,118851,112627
222,18,Caquetá,Total,2017,122690,116519
223,18,Caquetá,Total,2018,126999,120858
224,18,Caquetá,Total,2019,130561,124478
225,18,Caquetá,Total,2020,134333,128291
226,18,Caquetá,Total,2021,138172,132156
227,18,Caquetá,Total,2022,142183,136175
228,18,Caquetá,Total,2023,146321,140303
229,18,Caquetá,Total,2024,151284,145209
230,18,Caquetá,Total,Unnamed: 0,18,18
231,19,Cauca,Total,1993,238756,219735
232,19,Cauca,Total,1994,246323,226681
233,19,Cauca,Total,1995,253648,233401
234,19,Cauca,Total,1996,260765,239925
235,19,Cauca,Total,1997,267728,246300
236,19,Cauca,Total,1998,274653,252600
237,19,Cauca,Total,1999,281400,258755
238,19,Cauca,Total,2000,288205,264899
239,19,Cauca,Total,2001,294994,271013
240,19,Cauca,Total,2002,301807,277148
241,19,Cauca,Total,2003,308855,283449
242,19,Cauca,Total,2004,316250,289994
243,19,Cauca,Total,2005,324047,295653
244,19,Cauca,Total,2006,332567,302737
245,19,Cauca,Total,2007,341730,311800
246,19,Cauca,Total,2008,351649,319851
247,19,Cauca,Total,2009,362370,328270
248,19,Cauca,Total,2010,374090,337098
249,19,Cauca,Total,2011,386784,346243
250,19,Cauca,Total,2012,400399,355646
251,19,Cauca,Total,2013,414942,365394
252,19,Cauca,Total,2014,430658,375871
253,19,Cauca,Total,2015,447771,387483
254,19,Cauca,Total,2016,466487,400598
255,19,Cauca,Total,2017,486938,415457
256,19,Cauca,Total,2018,509477,432411
257,19,Cauca,Total,2019,524244,443256
258,19,Cauca,Total,2020,539177,454578
259,19,Cauca,Total,2021,554091,466149
260,19,Cauca,Total,2022,569318,478195
261,19,Cauca,Total,2023,584984,490768
