,Código Departamento,Nombre Departamento,Área,Año,Viviendas
702,23,Córdoba,Total,2013,407617
735,23,Córdoba,Total,2014,417932
768,23,Córdoba,Total,2015,429340
801,23,Córdoba,Total,2016,442240
834,23,Córdoba,Total,2017,456965
867,23,Córdoba,Total,2018,474274
900,23,Córdoba,Total,2019,487172
933,23,Córdoba,Total,2020,500074
966,23,Córdoba,Total,2021,512346
999,23,Córdoba,Total,2022,524510
1032,23,Córdoba,Total,2023,536925
1065,23,Córdoba,Total,2024,548950
9,23,Córdoba,Total,Unnamed: 0,27
43,25,Cundinamarca,Total,1993,405335
76,25,Cundinamarca,Total,1994,406653
109,25,Cundinamarca,Total,1995,408491
142,25,Cundinamarca,Total,1996,410918
175,25,Cundinamarca,Total,1997,413962
208,25,Cundinamarca,Total,1998,417627
241,25,Cundinamarca,Total,1999,422039
274,25,Cundinamarca,Total,2000,427253
307,25,Cundinamarca,Total,2001,433383
340,25,Cundinamarca,Total,2002,440549
373,25,Cundinamarca,Total,2003,448973
406,25,Cundinamarca,Total,2004,458910
439,25,Cundinamarca,Total,2005,470134
472,25,Cundinamarca,Total,2006,484036
505,25,Cundinamarca,Total,2007,500736
538,25,Cundinamarca,Total,2008,520529
571,25,Cundinamarca,Total,2009,543673
604,25,Cundinamarca,Total,2010,570351
637,25,Cundinamarca,Total,2011,600534
670,25,Cundinamarca,Total,2012,634131
703,25,Cundinamarca,Total,2013,671369
736,25,Cundinamarca,Total,2014,712486
769,25,Cundinamarca,Total,2015,757952
802,25,Cundinamarca,Total,2016,808761
835,25,Cundinamarca,Total,2017,865647
868,25,Cundinamarca,Total,2018,930435
901,25,Cundinamarca,Total,2019,997211
934,25,Cundinamarca,Total,2020,1063568
967,25,Cundinamarca,Total,2021,1123893
1000,25,Cundinamarca,Total,2022,1178658
1033,25,Cundinamarca,Total,2023,1232378
1066,25,Cundinamarca,Total,2024,1288261
10,25,Cundinamarca,Total,Unnamed: 0,30
44,27,Chocó,Total,1993,52005
77,27,Chocó,Total,1994,54980
110,27,Chocó,Total,1995,57942
143,27,Chocó,Total,1996,60963
176,27,Chocó,Total,1997,64007
209,27,Chocó,Total,1998,67098
242,27,Chocó,Total,1999,70285
275,27,Chocó,Total,2000,73501
308,27,Chocó,Total,2001,76764
341,27,Chocó,Total,2002,80066
374,27,Chocó,Total,2003,83485
407,27,Chocó,Total,2004,87012
440,27,Chocó,Total,2005,90688
473,27,Chocó,Total,2006,94480
506,27,Chocó,Total,2007,98284
539,27,Chocó,Total,2008,102105
